Category,Product_Name,Brand_Name,Caption_Tagline,MRP_Price,Selling_Price,Stock_Qty,Unit,Color,Material,Dimensions_H_W_D,Thickness_mm,Volume_Litres,Weight_Kg,Wire_Gauge_sqmm,Grade,Finish,Sqft_Per_Box,Pieces_Per_Box,Pack_Quantity,HSN_Code,Specifications,Images,Description
tiles-stone,Kajaria Statuario Grand Gloss Vitrified Tile 800x800mm,Kajaria,Italian White Marble Look High-Gloss Vitrified Tile,3400,2650,200,Box,White,Vitrified Ceramic,800x800mm,9.5 mm,,,,High Gloss,High Gloss,15.5,3,1 Box,6907,Anti-Skid: Medium; Water Absorption: <0.05%; Breaking Strength: >1300 N,https://www.intrihub.com/images/products/prod-tile-1.webp,"Mirror finish double charge vitrified tiles for luxury living rooms, lobbies, and commercial spaces."
tiles-stone,Black Galaxy Premium Mirror Polished Granite Slab,South Granites,Mirror Finish Golden Flakes Natural Granite Slab,180,145,500,Sqft,Black Galaxy,Natural Granite,10x4 ft Slab,18 mm,,,,Polished Mirror,1,1,1 Slab,6802,Density: High 2.9 g/cm3; Application: Kitchen Countertops & Stairs; Origin: Ongole,https://www.intrihub.com/images/products/prod-granite-1.webp,Durable mirror polished black granite with sparkling golden mica flakes for kitchen countertops.,
electrical,Schneider Electric Opale 16A 1-Way Modular Switch,Schneider Electric,Heavy Duty 16A Power Switch with Indicator,190,145,300,Piece,White,Polycarbonate & Brass,45x45x40 mm,,,,Modular Standard,Gloss,,,1 Piece,8536,Current Rating: 16A; Voltage: 240V AC; Contact: Silver Cadmium; Warranty: 10 Years,https://www.intrihub.com/images/products/prod-switch-1.jpg,"High endurance 16A modular switch suitable for ACs, Geysers, and heavy kitchen appliances.",
electrical,Roma Classic 6 Module Modular Grid Cover Plate,Anchor Panasonic,Sleek Polycarbonate Modular Grid Inner & Outer Plate,320,240,150,Piece,Gloss White,Polycarbonate,200x85x15 mm,,,,Standard Plate,Gloss,,,1 Plate,8538,Module Count: 6 Modules; Material: Flame Retardant Polycarbonate; Warranty: 5 Years,https://www.intrihub.com/images/products/prod-plate-1.jpg,Premium flame retardant polycarbonate modular switch plate with sleek gloss finish.,
electrical-wires,Havells LifeLine Plus 2.5 sq mm House Wire 90m,Havells,100% Electrolytic Copper High Safety House Wire,4250,3390,80,Coil,Red,Pure Copper,90m Coil,,1.5 kg,2.5 sq mm,FR-LSH Grade,Smooth PVC,,,1 Coil (90m),8544,Conductor: Annealed Bare Copper; Voltage: 1100V; Flame Retardant: Yes; Oxygen Index: >29%,https://www.intrihub.com/images/products/prod-wire-1.jpg,Flame retardant low smoke 90-meter pure copper house wiring cable for heavy power sockets.,
electrical-wires,Polycab Optima Plus 1.5 sq mm FR PVC Wire 90m,Polycab,High Current Capacity FR PVC Insulated Copper Wire,2850,2250,100,Coil,Blue,Pure Copper,90m Coil,,1.1 kg,1.5 sq mm,FR Grade,Smooth PVC,,,1 Coil (90m),8544,Conductor: Pure Copper; Voltage: 1100V; Flame Retardant: Yes,https://www.intrihub.com/images/products/prod-wire-2.jpg,High safety 90-meter single core copper wire for residential lighting and fan circuits.,
plumbing-sanitary,Astral CPVC Pro SDR 11 Hot & Cold Pipe 1 Inch (3m),Astral,Lead-Free High Pressure CPVC Water Pipe,820,680,150,Piece,Off White,Chlorinated Polyvinyl Chloride,3 Meter Length,3.2 mm,,,SDR 11 Class 1,Smooth,,,1 Pipe (3m),3917,Pressure Rating: 28.1 kg/cm2; Temperature: Up to 93C; NSF Certified: Yes,https://www.intrihub.com/images/products/prod-pipe-1.jpg,High tensile SDR 11 CPVC water pipes engineered for hot and cold internal residential plumbing.,
plumbing-sanitary,Jaquar Alive Single Lever Basin Mixer Tap,Jaquar,Chrome Finish Solid Brass High Arc Basin Faucet,3850,3150,50,Piece,Chrome Silver,Solid Brass,165x110x50 mm,,,,,Chrome Plated,,,1 Piece,8481,Cartridge: Ceramic 35mm; Aerator: Foam Flow; Warranty: 10 Years,https://www.intrihub.com/images/products/prod-tap-1.jpg,Premium single lever high arc basin mixer with durable corrosion-resistant chrome finish.,
false-ceiling,Saint-Gobain Gyproc Elite POP Plaster 25kg Bag,Gyproc,Super Fine White Ceiling Casting Plaster,450,360,200,Bag,Super White,Hemihydrate Gypsum Plaster,25 Kg Bag,,,25 kg,,Grade A Casting,Super Fine,,,1 Bag,2520,Setting Time: 12-15 Mins; Whiteness: 88%+; Purity: 90% Gypsum,https://www.intrihub.com/images/products/prod-pop-1.jpg,Ultra fine grade ceiling molding POP powder with minimal shrinkage and crack resistance.
false-ceiling,Gyproc Plain Gypsum Plasterboard 12.5mm 6x4 ft,Gyproc,Lightweight Moisture-Resistant False Ceiling Board,580,480,120,Sheet,Ivory White,Gypsum Core Paper Faced,6x4 ft,12.5 mm,,18 kg,,Standard Commercial,Smooth,24 sq.ft,,1 Board,6809,Edge Type: Tapered Edge; Thermal Conductivity: 0.16 W/mK; Fire Rating: Class 1,https://www.intrihub.com/images/products/prod-board-1.jpg,Dimensionally stable gypsum plasterboard for aesthetic architectural false ceilings.
paint-finishes,Asian Paints Royale Luxury Interior Matt Emulsion 4L,Asian Paints,Ultra-sheen Teflon Anti-fungal Washable Paint,4800,3950,60,Bucket,Ivory White,Acrylic Emulsion Paint,4 Litres Bucket,,4 Litres,5.2 kg,,Premium Luxury,Soft Matt,,,1 Bucket,3208,Dry Time: 30 Mins; Recoat Time: 4 Hours; Coverage: 280-300 sq.ft/4L; Washability: High,https://www.intrihub.com/images/products/prod-paint-1.jpg,Luxury interior washable emulsion paint with Teflon surface protector against stains.
paint-finishes,Dr Fixit Super Latex SBR Waterproofing Chemical 5L,Dr. Fixit,SBR Latex Bonding Agent for Waterproofing & Repairs,2450,1980,80,Can,Milky White,Styrene Butadiene Rubber,5 Litres Can,,5 Litres,5.1 kg,,Standard SBR,Liquid,,,1 Can,3824,"Coverage: 70-80 sq.ft/L; Application: Basements, Toilets, Terraces, Slabs",https://www.intrihub.com/images/products/prod-latex-1.jpg,Multipurpose SBR bonding polymer chemical for concrete repair and water-retaining structures.
plywood,CenturyPly Club Prime BWP 19mm Marine Plywood 8x4,CenturyPly,Boiling Water Proof Marine Grade Plywood Sheet,4200,3450,100,Sheet,Brown,Gurjan Hardwood,8x4 ft,19 mm,,32 kg,BWP Marine Grade (IS 710),Smooth,32 sq.ft,,1 Sheet,4412,Warranty: 25 Years; Borer & Termite Proof: Yes; Glue: Phenolic Formaldehyde,https://www.intrihub.com/images/products/prod-plywood-1.webp,"Heavy-duty marine grade BWP plywood for modular kitchens, wardrobes, and wet area interiors.",
plywood,Greenlam 1mm High-Gloss Decorative Laminate 8x4,Greenlam,Scratch Resistant High Pressure Decorative Laminate Sheet,2600,2150,90,Sheet,Oak Wood Texture,Melamine Phenolic Resin,8x4 ft,1.0 mm,,4 kg,,High Gloss Finish,High Gloss,32 sq.ft,,1 Sheet,4823,Abrasion Resistance: >350 Revolutions; Stain Resistant: Yes; Thickness: 1.0mm,https://www.intrihub.com/images/products/prod-laminate-1.jpg,Designer 1mm high-pressure interior laminate sheet for table tops and furniture shutters.
hardware-fittings,Godrej Nav-Tal 7 Levers Solid Brass Padlock,Godrej,High Security Solid Brass Padlock with 3 Keys,680,540,120,Piece,Gold Brass,Solid Brass & Hardened Steel,70x50x25 mm,,0.45 kg,,,High Security,Polished Brass,,,1 Lock + 3 Keys,8301,Lever Count: 7 Levers; Shackle: Hardened Electroplated Steel; Warranty: 5 Years,https://www.intrihub.com/images/products/prod-lock-1.jpg,"Iconic 7-lever brass padlock offering tamper-proof security for gates, shutters, and main doors."
hardware-fittings,Ozone SS 304 Soft-Close Hydraulic Auto Hinges (Pair),Ozone,Stainless Steel 304 Soft Close Kitchen Cabinet Hinges,350,270,250,Pack,Stainless Steel,Full Overlay Crank 0,1.2 mm,,0.25 kg,,SS 304 Grade,Nickel Satin,,,1 Pair (2 Pcs),8302,"Opening Angle: 105 Degree; Cycle Tested: 50,000 Cycles; Hydraulic Buffer: Brass",https://www.intrihub.com/images/products/prod-hinge-1.jpg,Anti-rust SS 304 hydraulic soft-close concealed hinges for modular kitchen cabinets.,
adhesives-sealants-waterproofing,Roff New T02 Vitrofix Polymer Tile Adhesive 20kg,Roff Pidilite,Polymer Modified Tile Adhesive for Floor & Wall Tiles,490,395,250,Bag,Grey,Polymer Modified Cementitious,20 Kg Bag,,,20 kg,,Type 2 Standard,Powder,45 sq.ft,,1 Bag,3824,Pot Life: 3 Hours; Tensile Adhesion: >1.0 N/mm2; Ready for Grouting: 24 Hours,https://www.intrihub.com/images/products/prod-adhesive-1.jpg,Heavy-duty polymer modified cementitious tile adhesive for vitrified floor and wall tiles.
,,,,,,,,,,,,,,,,,,,,,,,
fevicol,fevicol,,,340,399,,,white,,,,,1kg,,,,,,,,,,
fevicol,fevicol,,,620,680,,,,,,,,2 kg,,,,,,,,,,
fevicol,fevicol,,,1450,1620,,,,,,,,5kg,,,,,,,,,,
fevicol,fevicol,,,2790,2999,,,,,,,,10kg,,,,,,,,,,
fevicol,fevicol,,,5304,5800,,,,,,,,20kg,,,,,,,,,,
,fevicol,,,7726,8200,,,,,,,,30kg,,,,,,,,,,
,fevicol,,,12500,14000,,,,,,,,50kg,,,,,,,,,,
pro bond ,fevicol,,,,,,,,,,,,500g,,,,,,,,,,
